AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,LATITUDE,LONGITUDE
ABE,Lehigh Valley International,"Allentown/Bethlehem/Easton, PA",40.65472222,-75.43833333
ABI,Abilene Regional,"Abilene, TX",32.40944444,-99.67972222
ABQ,Albuquerque International Sunport,"Albuquerque, NM",35.04166667,-106.60638889
ABR,Aberdeen Regional,"Aberdeen, SD",45.44972222,-98.42166667
ABY,Southwest Georgia Regional,"Albany, GA",31.53222222,-84.19611111
ACT,Waco Regional,"Waco, TX",31.61138889,-97.22861111
ACV,Arcata,"Arcata/Eureka, CA",40.97916667,-124.1075
ACY,Nafec Atlantic City,"Atlantic City, NJ",39.45611111,-74.57805556
ADK,Adak NS,"Adak Island, AK",51.88277778,-176.64472222
ADQ,Kodiak Airport,"Kodiak, AK",57.75,-152.49388889
AEX,England AFB,"Alexandria, LA",31.32416667,-92.54694444
AGS,Bush Field,"Augusta, GA",33.36916667,-81.96444444
ALB,Albany International,"Albany, NY",42.74583333,-73.80527778
ALO,Waterloo Regional,"Waterloo, IA",42.55611111,-92.39972222
AMA,Amarillo International,"Amarillo, TX",35.22722222,-101.72194444
ANC,Anchorage International,"Anchorage, AK",61.16916667,-149.98527778
APN,Phelps/Collins,"Alpena, MI",45.08166667,-83.55583333
ASE,Aspen Pitkin County Sardy Field,"Aspen, CO",39.22416667,-106.86888889
ATL,Atlanta Municipal,"Atlanta, GA",33.64083333,-84.42722222
ATW,Outagamie County Regional,"Appleton, WI",44.25777778,-88.52
AUS,Austin - Bergstrom International,"Austin, TX",30.19444444,-97.67
AVL,Asheville Regional,"Asheville, NC",35.435,-82.54111111
AVP,Wilkes Barre Scranton International,"Scranton/Wilkes-Barre, PA",41.33916667,-75.72583333
AZO,Kalamazoo/Battle Creek International,"Kalamazoo, MI",42.23638889,-85.55361111
BDL,Bradley International,"Hartford, CT",41.93861111,-72.68333333
BET,Bethel Airport,"Bethel, AK",60.78444444,-161.83138889
BFL,Meadows Field,"Bakersfield, CA",35.43,-119.05222222
BHM,Birmingham Airport,"Birmingham, AL",33.56305556,-86.75555556
BIL,Billings Logan International,"Billings, MT",45.80694444,-108.54277778
BIS,Bismarck Municipal,"Bismarck/Mandan, ND",46.77888889,-100.7525
BJI,Bemidji Municipal,"Bemidji, MN",47.50972222,-94.93472222
BLI,Bellingham International,"Bellingham, WA",48.79444444,-122.53472222
BMI,Central Illinois Regional,"Bloomington/Normal, IL",40.48194444,-88.9275
BNA,Nashville International,"Nashville, TN",36.12666667,-86.68194444
BOI,Boise Air Terminal,"Boise, ID",43.56527778,-116.225
BOS,Logan International,"Boston, MA",42.36361111,-71.00611111
BPT,Jefferson County,"Beaumont/Port Arthur, TX",29.95083333,-94.02
BQK,Glynco Jetport,"Brunswick, GA",31.25888889,-81.46638889
BQN,Ramey AFB,"Aguadilla, Puerto Rico",18.49583333,-67.13
BRD,Brainerd/Crow Wing County,"Brainerd, MN",46.39722222,-94.1375
BRO,Brownsville South Padre Island International,"Brownsville, TX",25.90638889,-97.42555556
BRW,Wiley Post/Will Rogers Memorial,"Barrow, AK",71.28555556,-156.76611111
BTM,Bert Mooney,"Butte, MT",45.95111111,-112.49388889
BTR,Baton Rouge Metropolitan/Ryan Field,"Baton Rouge, LA",30.53166667,-91.15055556
BTV,Burlington International,"Burlington, VT",44.47277778,-73.15305556
BUF,Greater Buffalo International,"Buffalo, NY",42.94111111,-78.73638889
BUR,Hollywood-Burbank Midpoint,"Burbank, CA",34.2,-118.35777778
BWI,Baltimore/Washington International,"Baltimore, MD",39.175,-76.67
BZN,Gallatin Field,"Bozeman, MT",45.78027778,-111.15944444
CAE,Columbia Metropolitan,"Columbia, SC",33.93638889,-81.11583333
CAK,Akron-Canton Regional,"Akron, OH",40.91388889,-81.44166667
CDC,Cedar City Regional,"Cedar City, UT",37.7025,-113.09611111
CDV,Cordova Mile 13,"Cordova, AK",60.49305556,-145.47
CEC,Jack McNamara Field,"Crescent City, CA",41.78,-124.23583333
CHA,Lovell Field,"Chattanooga, TN",35.03638889,-85.20361111
CHO,Charlottesville Albemarle,"Charlottesville, VA",38.14138889,-78.45305556
CHS,Charleston International,"Charleston, SC",32.89916667,-80.03888889
CID,Cedar Rapids Municipal,"Cedar Rapids/Iowa City, IA",41.88444444,-91.70611111
CIU,Chippewa County International,"Sault Ste. Marie, MI",46.24194444,-84.46611111
CLD,Palomar,"Carlsbad, CA",33.12861111,-117.27972222
CLE,Cleveland-Hopkins International,"Cleveland, OH",41.41083333,-81.84944444
CLL,Easterwood Field,"College Station/Bryan, TX",30.58944444,-96.36444444
CLT,Douglas Municipal,"Charlotte, NC",35.21916667,-80.93583333
CMH,Port Columbus International,"Columbus, OH",39.99111111,-82.87833333
CMI,University of Illinois/Willard,"Champaign/Urbana, IL",40.03972222,-88.27972222
CMX,Houghton County Memorial,"Hancock/Houghton, MI",47.16777778,-88.48638889
CNY,Canyonlands Field,"Moab, UT",38.75944444,-109.74611111
