Mfg,Model,Model_Year,MPG,Weight,Cylinders,Horsepower,Acceleration,Displacement,KMPL
Mfg,Model,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
chevrolet,chevrolet chevelle malibu           ,70,18,3504,8,130,12,307,7.65
buick,buick skylark 320                   ,70,15,3693,8,165,11.5,350,6.375
plymouth,plymouth satellite                  ,70,18,3436,8,150,11,318,7.65
amc,amc rebel sst                       ,70,16,3433,8,150,12,304,6.8
ford,ford torino                         ,70,17,3449,8,140,10.5,302,7.225
ford,ford galaxie 500                    ,70,15,4341,8,198,10,429,6.375
chevrolet,chevrolet impala                    ,70,14,4354,8,220,9,454,5.95
plymouth,plymouth fury iii                   ,70,14,4312,8,215,8.5,440,5.95
pontiac,pontiac catalina                    ,70,14,4425,8,225,10,455,5.95
amc,amc ambassador dpl                  ,70,15,3850,8,190,8.5,390,6.375
citroen,citroen ds-21 pallas                ,70,NaN,3090,4,115,17.5,133,NaN
chevrolet,chevrolet chevelle concours (sw)    ,70,NaN,4142,8,165,11.5,350,NaN
ford,ford torino (sw)                    ,70,NaN,4034,8,153,11,351,NaN
plymouth,plymouth satellite (sw)             ,70,NaN,4166,8,175,10.5,383,NaN
amc,amc rebel sst (sw)                  ,70,NaN,3850,8,175,11,360,NaN
dodge,dodge challenger se                 ,70,15,3563,8,170,10,383,6.375
plymouth,plymouth 'cuda 340                  ,70,14,3609,8,160,8,340,5.95
ford,ford mustang boss 302               ,70,NaN,3353,8,140,8,302,NaN
chevrolet,chevrolet monte carlo               ,70,15,3761,8,150,9.5,400,6.375
buick,buick estate wagon (sw)             ,70,14,3086,8,225,10,455,5.95
toyota,toyota corona mark ii               ,70,24,2372,4,95,15,113,10.2
plymouth,plymouth duster                     ,70,22,2833,6,95,15.5,198,9.35
amc,amc hornet                          ,70,18,2774,6,97,15.5,199,7.65
ford,ford maverick                       ,70,21,2587,6,85,16,200,8.925
datsun,datsun pl510                        ,70,27,2130,4,88,14.5,97,11.475
volkswagen,volkswagen 1131 deluxe sedan        ,70,26,1835,4,46,20.5,97,11.05
peugeot,peugeot 504                         ,70,25,2672,4,87,17.5,110,10.625
audi,audi 100 ls                         ,70,24,2430,4,90,14.5,107,10.2
saab,saab 99e                            ,70,25,2375,4,95,17.5,104,10.625
bmw,bmw 2002                            ,70,26,2234,4,113,12.5,121,11.05
amc,amc gremlin                         ,70,21,2648,6,90,15,199,8.925
ford,ford f250                           ,70,10,4615,8,215,14,360,4.25
chevrolet,chevrolet c20                       ,70,10,4376,8,200,15,307,4.25
dodge,dodge d200                          ,70,11,4382,8,210,13.5,318,4.675
ih,ih 1200d                            ,70,9,4732,8,193,18.5,304,3.825
datsun,datsun pl510                        ,71,27,2130,4,88,14.5,97,11.475
chevrolet,chevrolet vega 2300                 ,71,28,2264,4,90,15.5,140,11.9
toyota,toyota corona                       ,71,25,2228,4,95,14,113,10.625
ford,ford pinto                          ,71,25,2046,4,NaN,19,98,10.625
volkswagen,volkswagen super beetle 117         ,71,NaN,1978,4,48,20,97,NaN
amc,amc gremlin                         ,71,19,2634,6,100,13,232,8.075
plymouth,plymouth satellite custom           ,71,16,3439,6,105,15.5,225,6.8
chevrolet,chevrolet chevelle malibu           ,71,17,3329,6,100,15.5,250,7.225
ford,ford torino 500                     ,71,19,3302,6,88,15.5,250,8.075
amc,amc matador                         ,71,18,3288,6,100,15.5,232,7.65
chevrolet,chevrolet impala                    ,71,14,4209,8,165,12,350,5.95
pontiac,pontiac catalina brougham           ,71,14,4464,8,175,11.5,400,5.95
ford,ford galaxie 500                    ,71,14,4154,8,153,13.5,351,5.95
plymouth,plymouth fury iii                   ,71,14,4096,8,150,13,318,5.95
dodge,dodge monaco (sw)                   ,71,12,4955,8,180,11.5,383,5.1
ford,ford country squire (sw)            ,71,13,4746,8,170,12,400,5.525
pontiac,pontiac safari (sw)                 ,71,13,5140,8,175,12,400,5.525
amc,amc hornet sportabout (sw)          ,71,18,2962,6,110,13.5,258,7.65
chevrolet,chevrolet vega (sw)                 ,71,22,2408,4,72,19,140,9.35
pontiac,pontiac firebird                    ,71,19,3282,6,100,15,250,8.075
ford,ford mustang                        ,71,18,3139,6,88,14.5,250,7.65
mercury,mercury capri 2000                  ,71,23,2220,4,86,14,122,9.775
opel,opel 1900                           ,71,28,2123,4,90,14,116,11.9
peugeot,peugeot 304                         ,71,30,2074,4,70,19.5,79,12.75
fiat,fiat 124b                           ,71,30,2065,4,76,14.5,88,12.75
toyota,toyota corolla 1200                 ,71,31,1773,4,65,19,71,13.175
datsun,datsun 1200                         ,71,35,1613,4,69,18,72,14.875
volkswagen,volkswagen model 111                ,71,27,1834,4,60,19,97,11.475
plymouth,plymouth cricket                    ,71,26,1955,4,70,20.5,91,11.05
toyota,toyota corona hardtop               ,72,24,2278,4,95,15.5,113,10.2
dodge,dodge colt hardtop                  ,72,25,2126,4,80,17,97.5,10.625
volkswagen,volkswagen type 3                   ,72,23,2254,4,54,23.5,97,9.775
chevrolet,chevrolet vega                      ,72,20,2408,4,90,19.5,140,8.5
ford,ford pinto runabout                 ,72,21,2226,4,86,16.5,122,8.925
