Mfg,Model,Model_Year,MPG,Weight,Cylinders,Horsepower,Acceleration,Displacement
chevrolet    ,chevrolet chevelle malibu           ,70,18,3504,8,130,12,307
buick        ,buick skylark 320                   ,70,15,3693,8,165,11.5,350
plymouth     ,plymouth satellite                  ,70,18,3436,8,150,11,318
amc          ,amc rebel sst                       ,70,16,3433,8,150,12,304
ford         ,ford torino                         ,70,17,3449,8,140,10.5,302
ford         ,ford galaxie 500                    ,70,15,4341,8,198,10,429
chevrolet    ,chevrolet impala                    ,70,14,4354,8,220,9,454
plymouth     ,plymouth fury iii                   ,70,14,4312,8,215,8.5,440
pontiac      ,pontiac catalina                    ,70,14,4425,8,225,10,455
amc          ,amc ambassador dpl                  ,70,15,3850,8,190,8.5,390
citroen      ,citroen ds-21 pallas                ,70,NaN,3090,4,115,17.5,133
chevrolet    ,chevrolet chevelle concours (sw)    ,70,NaN,4142,8,165,11.5,350
ford         ,ford torino (sw)                    ,70,NaN,4034,8,153,11,351
plymouth     ,plymouth satellite (sw)             ,70,NaN,4166,8,175,10.5,383
amc          ,amc rebel sst (sw)                  ,70,NaN,3850,8,175,11,360
dodge        ,dodge challenger se                 ,70,15,3563,8,170,10,383
plymouth     ,plymouth 'cuda 340                  ,70,14,3609,8,160,8,340
ford         ,ford mustang boss 302               ,70,NaN,3353,8,140,8,302
chevrolet    ,chevrolet monte carlo               ,70,15,3761,8,150,9.5,400
buick        ,buick estate wagon (sw)             ,70,14,3086,8,225,10,455
toyota       ,toyota corona mark ii               ,70,24,2372,4,95,15,113
plymouth     ,plymouth duster                     ,70,22,2833,6,95,15.5,198
amc          ,amc hornet                          ,70,18,2774,6,97,15.5,199
ford         ,ford maverick                       ,70,21,2587,6,85,16,200
datsun       ,datsun pl510                        ,70,27,2130,4,88,14.5,97
volkswagen   ,volkswagen 1131 deluxe sedan        ,70,26,1835,4,46,20.5,97
peugeot      ,peugeot 504                         ,70,25,2672,4,87,17.5,110
audi         ,audi 100 ls                         ,70,24,2430,4,90,14.5,107
saab         ,saab 99e                            ,70,25,2375,4,95,17.5,104
bmw          ,bmw 2002                            ,70,26,2234,4,113,12.5,121
amc          ,amc gremlin                         ,70,21,2648,6,90,15,199
ford         ,ford f250                           ,70,10,4615,8,215,14,360
chevrolet    ,chevrolet c20                       ,70,10,4376,8,200,15,307
dodge        ,dodge d200                          ,70,11,4382,8,210,13.5,318
